                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                  2.266,                 2.5769,                 2.3838,                0.43541,                0.34902,                0.34014,                  0.152,                 2.0834,                 2.3663,                 2.3084,              0.0012476,              0.0012476,              0.0012476
                    116,                 2.0928,                 2.5274,                 2.3544,                0.38742,                0.35766,                0.31236,                0.12846,                 2.0686,                 2.4208,                 2.2973,               0.001241,               0.001241,               0.001241
                    117,                 2.1576,                 2.5171,                 2.3825,                0.37947,                0.31387,                0.25192,                0.11237,                 2.0724,                 2.6922,                 2.2498,              0.0012344,              0.0012344,              0.0012344
                    118,                 2.0868,                 2.4084,                 2.3279,                0.44384,                0.30657,                0.28409,                0.14163,                  2.066,                 2.6506,                 2.2165,              0.0012278,              0.0012278,              0.0012278
                    119,                 2.0812,                 2.3666,                 2.3289,                  0.397,                0.32117,                0.31189,                0.12893,                 2.1767,                 2.3205,                 2.2742,              0.0012212,              0.0012212,              0.0012212
                    120,                 2.2706,                 2.6131,                 2.4217,                0.37719,                0.33577,                0.30824,                0.13471,                 2.1606,                 2.3803,                 2.2677,              0.0012146,              0.0012146,              0.0012146
                    121,                 2.1492,                 2.4282,                 2.3316,                0.42507,                0.33577,                 0.3076,                0.14138,                 2.1497,                 2.5096,                 2.2742,               0.001208,               0.001208,               0.001208
                    122,                 2.1077,                 2.4108,                 2.2805,                0.48621,                0.33158,                0.32248,                0.15072,                 2.1082,                  2.452,                 2.2447,              0.0012014,              0.0012014,              0.0012014
                    123,                 2.0923,                 2.3605,                 2.3259,                0.47983,                0.35036,                0.32431,                0.13708,                 2.0718,                 2.8375,                 2.2199,              0.0011948,              0.0011948,              0.0011948
                    124,                 2.1759,                 2.3937,                 2.3208,                0.37149,                0.34307,                0.25742,                0.09991,                 2.0907,                 2.8839,                 2.2011,              0.0011882,              0.0011882,              0.0011882
                    125,                 2.1399,                 2.4257,                 2.3167,                0.44809,                0.37336,                0.29841,                0.12842,                 2.0851,                 2.3209,                  2.183,              0.0011816,              0.0011816,              0.0011816
                    126,                 2.0654,                 2.3411,                  2.279,                0.43243,                0.40876,                0.34258,                0.15747,                 2.1061,                 2.2877,                 2.2172,               0.001175,               0.001175,               0.001175
                    127,                 2.1051,                 2.4326,                 2.2656,                0.61196,                0.35766,                0.38359,                0.18049,                 2.0617,                 2.1743,                 2.1678,              0.0011684,              0.0011684,              0.0011684
                    128,                 2.0465,                 2.3419,                 2.2887,                0.47747,                0.35766,                0.39985,                 0.1862,                 2.0316,                 2.0955,                 2.1465,              0.0011618,              0.0011618,              0.0011618
                    129,                 2.1142,                 2.5627,                 2.3799,                0.45169,                0.43066,                0.38227,                0.17295,                 2.0418,                 2.1441,                  2.163,              0.0011552,              0.0011552,              0.0011552
                    130,                 2.0837,                 2.4187,                 2.2897,                0.40606,                0.33936,                 0.3221,                  0.149,                 2.0429,                  2.453,                 2.1475,              0.0011486,              0.0011486,              0.0011486
                    131,                 2.1614,                 2.4068,                 2.3355,                0.38866,                0.37956,                0.36002,                0.17732,                 2.0581,                 2.2513,                 2.1421,               0.001142,               0.001142,               0.001142
                    132,                 2.0812,                 2.3308,                 2.3385,                0.51345,                0.45255,                0.43669,                0.20112,                 2.0164,                 2.1503,                 2.0885,              0.0011354,              0.0011354,              0.0011354
                    133,                 2.0294,                 2.3196,                 2.2538,                0.49667,                0.40146,                0.39253,                0.16735,                  2.025,                 2.1795,                 2.1008,              0.0011288,              0.0011288,              0.0011288
                    134,                 1.9995,                 2.1736,                 2.1892,                0.56236,                0.43066,                0.44452,                 0.1974,                  2.008,                 2.0706,                 2.0933,              0.0011222,              0.0011222,              0.0011222
                    135,                 2.0899,                 2.3086,                  2.277,                0.64684,                0.45255,                0.45779,                0.21018,                 1.9582,                  2.023,                 2.0908,              0.0011156,              0.0011156,              0.0011156
                    136,                 2.0056,                  2.137,                 2.2372,                0.65344,                0.47445,                0.49003,                0.23212,                 1.9273,                 1.9251,                 2.0654,               0.001109,               0.001109,               0.001109
                    137,                 2.0559,                 2.2775,                  2.243,                  0.511,                0.46715,                0.44012,                0.21355,                 1.9419,                 1.9806,                 2.0632,              0.0011024,              0.0011024,              0.0011024
                    138,                 2.0964,                  2.325,                 2.2535,                0.60304,                0.42139,                0.47359,                0.23159,                 1.9614,                 1.9947,                 2.0811,              0.0010958,              0.0010958,              0.0010958
                    139,                 2.0209,                 2.2031,                 2.1762,                0.62597,                0.47445,                0.49195,                0.24356,                  1.997,                 2.0652,                  2.122,              0.0010892,              0.0010892,              0.0010892
                    140,                 2.0779,                 2.1906,                 2.2521,                0.68388,                0.50365,                0.52241,                0.25116,                 1.9965,                 2.1854,                 2.1318,              0.0010826,              0.0010826,              0.0010826
                    141,                 2.0416,                 2.1378,                 2.1354,                 0.6722,                0.47445,                0.49333,                 0.2394,                 1.9324,                 2.0448,                 2.0746,               0.001076,               0.001076,               0.001076
                    142,                 2.0182,                 2.1855,                 2.1953,                 0.6472,                0.40146,                0.47565,                0.23469,                 1.9286,                  2.024,                 2.0709,              0.0010694,              0.0010694,              0.0010694
                    143,                 2.1052,                 2.2539,                 2.2406,                0.71695,                0.38686,                0.49754,                0.24464,                 1.9926,                 1.9721,                 2.0814,              0.0010628,              0.0010628,              0.0010628
                    144,                 1.9918,                 2.2413,                 2.2398,                0.59305,                0.43796,                0.49617,                0.22259,                 2.0332,                 1.9848,                 2.0843,              0.0010562,              0.0010562,              0.0010562
                    145,                 1.9841,                 2.1592,                 2.2178,                0.50817,                0.40876,                0.42314,                0.18785,                 2.1208,                 2.0423,                  2.139,              0.0010496,              0.0010496,              0.0010496
                    146,                 1.9908,                 2.1238,                 2.2049,                0.47186,                0.39782,                0.42016,                0.19325,                 2.1269,                 1.9559,                 2.1367,               0.001043,               0.001043,               0.001043
                    147,                 1.9567,                 2.1634,                 2.1046,                0.48018,                0.48549,                0.47154,                0.23073,                 1.9845,                 1.8356,                 2.0728,              0.0010364,              0.0010364,              0.0010364
